# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
serverInfo,,,,1464497587221,0.9211389002040877,1.2740748091990062,0
move,0.08307781780646906,5.2500153,-10.049988,1464497587248,,,27
move,0.0,10.200001,-11.250183,1464497587298,,,50
move,-0.07840000152587834,4.799999,-7.649933,1464497587348,,,50
move,-0.15523200451660557,-2.700016,-3.4498901,1464497587398,,,50
animation,,,,1464497587424,,,26
attack,,,,1464497587424,,,0
serverInfo,,,,1464497587424,0.9988246178207442,1.1811382385239897,0
move,-0.23052736891296632,-1.9500198,-7.0499268,1464497587448,,,24
move,-0.30431682745754074,-1.2000122,-8.249908,1464497587498,,,50
move,-0.37663049823865435,-5.850006,-23.099915,1464497587548,,,50
animation,,,,1464497587601,,,53
attack,,,,1464497587601,,,0
serverInfo,,,,1464497587601,0.7134067284133092,0.6144187214378715,0
move,-0.1040803780930375,-3.900013,-11.550018,1464497587648,,,47
move,0.41999998688697815,-1.2000084,-1.1999817,1464497587648,,,0
move,0.33319999363422426,-1.5000153,-2.999939,1464497587698,,,50
move,0.24813599859093927,-4.3500175,-10.050018,1464497587748,,,50
animation,,,,1464497587808,,,60
animation,,,,1464497587808,,,0
animation,,,,1464497587834,,,26
move,0.1647732818260721,-1.0500107,-8.25,1464497587848,,,14
move,0.08307781780646906,1.9500198,-10.80014,1464497587848,,,0
move,0.0,0.0,-13.200012,1464497587898,,,50
move,-0.07840000152587834,0.45000076,0.1499939,1464497587948,,,50
animation,,,,1464497588003,,,55
attack,,,,1464497588003,,,0
serverInfo,,,,1464497588003,0.9191188023998621,1.324034981432962,0
move,-0.15523200451660557,3.0000153,-4.049835,1464497588048,,,45
move,-0.23052736891296632,3.3000107,-4.7999268,1464497588048,,,0
move,-0.30431682745754074,-1.0500107,-2.6999207,1464497588098,,,50
animation,,,,1464497588121,,,23
attack,,,,1464497588121,,,0
serverInfo,,,,1464497588121,0.9480956645510514,0.8832502791154201,0
move,-0.37663049823865435,-0.30000305,-2.0999146,1464497588148,,,27
move,-0.1040803780930375,0.0,-0.5999756,1464497588248,,,100
move,0.0,-1.3500137,-4.349945,1464497588248,,,0
animation,,,,1464497588326,,,78
attack,,,,1464497588326,,,0
serverInfo,,,,1464497588326,0.689893175514751,0.655563476239716,0
move,0.0,-2.250019,-10.500061,1464497588348,,,22
move,0.41999998688697815,3.6000023,8.550018,1464497588348,,,0
move,0.33319999363422426,3.750019,14.400116,1464497588398,,,50
move,0.24813599859093927,1.950016,20.69989,1464497588448,,,50
animation,,,,1464497588508,,,60
attack,,,,1464497588508,,,0
serverInfo,,,,1464497588508,0.9560726162352141,1.1381146661985204,0
move,0.1647732818260721,-2.1000214,15.449921,1464497588548,,,40
move,0.08307781780646906,-2.1000137,3.8998718,1464497588548,,,0
move,0.0,-0.30000305,6.2999573,1464497588598,,,50
move,-0.07840000152587834,0.0,22.349884,1464497588648,,,50
animation,,,,1464497588696,,,48
attack,,,,1464497588696,,,0
serverInfo,,,,1464497588696,0.9545779017911658,1.391000169985014,0
move,-0.15523200451660557,-1.8000183,18.599976,1464497588698,,,2
move,-0.23052736891296632,-4.3500175,20.399994,1464497588748,,,50
move,-0.30431682745754074,-5.25,9.449951,1464497588798,,,50
animation,,,,1464497588819,,,21
attack,,,,1464497588819,,,0
serverInfo,,,,1464497588819,0.9846607322059042,1.0422420937565173,0
move,-0.37663049823865435,-1.6500053,1.1999512,1464497588848,,,29
move,-0.1040803780930375,-1.2000122,2.5499268,1464497588948,,,100
move,0.41999998688697815,-0.15000153,2.9999084,1464497588948,,,0
move,0.33319999363422426,0.90000916,8.100037,1464497588998,,,50
animation,,,,1464497589040,,,42
attack,,,,1464497589040,,,0
serverInfo,,,,1464497589040,0.9821593637701516,1.2394915069122414,0
move,0.24813599859093927,3.1500168,4.7998657,1464497589048,,,8
move,0.1647732818260721,6.750004,9.450012,1464497589098,,,50
move,0.08307781780646906,3.450016,12.000092,1464497589148,,,50
animation,,,,1464497589196,,,48
attack,,,,1464497589196,,,0
serverInfo,,,,1464497589196,0.9960031723904283,1.5729603338026985,0
move,0.0,0.6000061,3.8999329,1464497589198,,,2
move,-0.07840000152587834,0.7500076,4.3498535,1464497589248,,,50
animation,,,,1464497589326,,,78
attack,,,,1464497589326,,,0
serverInfo,,,,1464497589326,0.9982156197832867,1.4788482840839612,0
move,-0.15523200451660557,0.30000305,5.5499268,1464497589348,,,22
move,-0.23052736891296632,-0.30000305,-0.1499939,1464497589348,,,0
move,-0.30431682745754074,-0.6000061,0.8999634,1464497589398,,,50
move,-0.37663049823865435,-0.7500038,-1.9500122,1464497589448,,,50
move,-0.1040803780930375,-2.250023,-13.650024,1464497589498,,,50
move,0.0,-0.45000458,-6.299988,1464497589548,,,50
animation,,,,1464497589573,,,25
attack,,,,1464497589573,,,0
