# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,0.5999985,-8.099991,1464491306231,???
move,0.0,0.5999985,-3.7499847,1464491306330,99
move,0.0,0.0,-0.1499939,1464491306330,0
animation,,,,1464491306354,24
attack,,,,1464491306354,0
move,0.0,2.9999962,-3.449936,1464491306380,26
move,0.0,0.5999985,-1.3499908,1464491306480,100
animation,,,,1464491306511,31
attack,,,,1464491306511,0
move,0.0,2.0999947,-9.600021,1464491306530,19
move,0.0,1.4999962,6.4499664,1464491306530,0
move,0.0,0.7499981,16.5,1464491306580,50
move,0.0,-0.44999886,22.799995,1464491306630,50
animation,,,,1464491306666,36
attack,,,,1464491306666,0
move,0.0,-0.44999886,1.9500122,1464491306680,14
move,0.0,-0.44999886,0.6000061,1464491306730,50
move,0.0,-0.5999985,1.3500137,1464491306780,50
animation,,,,1464491306836,56
attack,,,,1464491306836,0
move,0.0,-1.4999962,5.250046,1464491306880,44
move,0.0,-3.7499962,4.500038,1464491306880,0
move,0.0,-5.8499994,0.9000015,1464491306930,50
animation,,,,1464491307008,78
attack,,,,1464491307008,0
move,0.0,-1.2000008,-7.200012,1464491307030,22
move,0.0,0.4500003,-0.7500076,1464491307030,0
move,0.0,0.4500003,0.30000305,1464491307080,50
move,0.0,0.9000006,1.6500168,1464491307130,50
animation,,,,1464491307166,36
attack,,,,1464491307166,0
move,0.0,0.0,0.6000061,1464491307180,14
move,0.0,0.1500001,0.45000458,1464491307230,50
move,0.0,1.9499965,2.850029,1464491307280,50
animation,,,,1464491307325,45
attack,,,,1464491307325,0
move,0.0,0.44999886,0.45000458,1464491307330,5
move,0.0,0.0,0.0,1464491307380,50
move,0.0,0.29999924,0.15000153,1464491307430,50
move,0.0,0.0,0.0,1464491307480,50
animation,,,,1464491307530,50
attack,,,,1464491307530,0
move,0.0,0.0,0.0,1464491307530,0
move,0.0,0.14999962,0.45000458,1464491307580,50
move,0.0,0.0,0.0,1464491307630,50
move,0.0,-0.29999924,0.15000153,1464491307680,50
animation,,,,1464491307704,24
attack,,,,1464491307704,0
move,0.0,0.0,0.0,1464491307730,26
move,0.0,0.0,0.0,1464491307830,100
move,0.0,0.0,-0.45000458,1464491307830,0
animation,,,,1464491307865,35
attack,,,,1464491307865,0
move,0.0,-0.5999985,-7.500046,1464491307880,15
move,0.0,0.0,-7.650017,1464491307930,50
move,0.0,0.0,-4.5000153,1464491307980,50
move,0.0,0.44999886,-4.9499664,1464491308030,50
animation,,,,1464491308082,52
attack,,,,1464491308082,0
move,0.0,1.199997,-1.3499603,1464491308131,49
move,0.0,0.29999924,-0.2999878,1464491308131,0
move,0.0,0.14999962,-2.3999786,1464491308181,50
animation,,,,1464491308211,30
attack,,,,1464491308211,0
move,0.0,0.0,0.0,1464491308231,20
move,0.0,0.14999962,-2.5499878,1464491308281,50
animation,,,,1464491308367,86
attack,,,,1464491308367,0
move,0.0,-0.5999985,-6.299988,1464491308381,14
move,0.0,-0.14999962,-0.89997864,1464491308381,0
move,0.0,0.44999886,-1.0499725,1464491308431,50
move,0.0,0.14999962,-3.4499664,1464491308481,50
animation,,,,1464491308510,29
attack,,,,1464491308510,0
move,0.0,0.14999962,-0.74998474,1464491308531,21
move,0.0,0.7499981,-1.0499573,1464491308581,50
move,0.0,0.29999924,-2.9999695,1464491308631,50
animation,,,,1464491308667,36
attack,,,,1464491308667,0
move,0.0,0.0,0.0,1464491308681,14
move,0.0,1.3499966,-2.3999329,1464491308731,50
move,0.0,0.7499981,-4.499954,1464491308781,50
animation,,,,1464491308866,85
attack,,,,1464491308866,0
move,0.0,0.29999924,-5.8499756,1464491308881,15
move,0.0,0.74999905,-0.74998474,1464491308881,0
move,0.0,0.14999962,-0.1499939,1464491308931,50
move,0.0,0.14999962,-1.4999847,1464491308981,50
animation,,,,1464491309012,31
attack,,,,1464491309012,0
move,0.0,0.29999924,-1.3499908,1464491309031,19
move,0.0,0.14999962,-0.1499939,1464491309081,50
move,0.0,-0.5999985,-7.1999817,1464491309131,50
animation,,,,1464491309166,35
attack,,,,1464491309166,0
move,0.0,-0.14999962,-1.6499786,1464491309181,15
move,0.0,1.0499973,-3.8999786,1464491309231,50
move,0.0,-0.8999977,-10.949997,1464491309281,50
animation,,,,1464491309367,86
attack,,,,1464491309367,0
move,0.0,-0.5999985,-4.9499664,1464491309381,14
move,0.0,0.0,-0.44999695,1464491309381,0
move,0.0,-0.5999985,-5.9999695,1464491309431,50
move,0.0,-0.7499981,-2.25,1464491309481,50
animation,,,,1464491309515,34
attack,,,,1464491309515,0
move,0.0,0.0,0.1499939,1464491309531,16
move,0.0,-2.249998,1.1999512,1464491309581,50
move,0.0,-3.7499933,5.5499573,1464491309631,50
animation,,,,1464491309675,44
move,0.0,-0.44999886,1.1999817,1464491309681,6
move,0.0,0.0,-1.0499878,1464491309731,50
move,0.0,0.0,-8.099991,1464491309781,50
animation,,,,1464491309815,34
attack,,,,1464491309815,0
move,0.0,1.1999979,-1.4999847,1464491309831,16
move,0.0,1.0499983,4.3499603,1464491309881,50
move,0.0,0.7499981,10.349976,1464491309931,50
animation,,,,1464491309972,41
attack,,,,1464491309972,0
move,0.0,0.14999962,4.050003,1464491309981,9
move,0.0,0.0,0.8999939,1464491310031,50
move,0.0,-0.8999977,1.7999573,1464491310081,50
animation,,,,1464491310141,60
attack,,,,1464491310141,0
move,0.0,-0.5999985,1.7999725,1464491310181,40
move,0.0,-1.3499966,4.3499756,1464491310181,0
move,0.0,-2.1000004,6.599991,1464491310231,50
animation,,,,1464491310255,24
attack,,,,1464491310255,0
move,0.0,-0.9000006,3.2999573,1464491310281,26
move,0.0,-0.6000004,6.150009,1464491310331,50
move,0.0,-0.3000002,4.649994,1464491310381,50
move,0.0,0.3000002,8.850006,1464491310431,50
animation,,,,1464491310455,24
move,0.0,0.4500003,4.1999664,1464491310481,26
move,0.0,0.1500001,-5.100006,1464491310531,50
animation,,,,1464491310616,85
attack,,,,1464491310616,0
move,0.0,0.0,-16.799973,1464491310631,15
move,0.0,0.3000002,-0.2999878,1464491310631,0
move,0.0,-0.7500005,15.149979,1464491310731,100
move,0.0,-1.3500009,11.400009,1464491310731,0
animation,,,,1464491310767,36
attack,,,,1464491310767,0
move,0.0,0.3000002,-1.3499908,1464491310781,14
move,0.0,1.8000011,-15.75,1464491310831,50
move,0.0,-0.3000002,-14.999985,1464491310881,50
animation,,,,1464491310918,37
attack,,,,1464491310918,0
move,0.0,0.7500005,33.000015,1464491310931,13
move,0.0,-3.150002,27.450005,1464491310981,50
move,0.0,-1.5000005,1.0499954,1464491311031,50
animation,,,,1464491311053,22
attack,,,,1464491311054,1
move,0.0,4.8,-0.6000061,1464491311081,27
move,0.0,14.250002,-6.1500015,1464491311131,50
move,0.0,3.749998,11.999992,1464491311181,50
move,0.0,-3.4499931,12.75,1464491311231,50
animation,,,,1464491311267,36
attack,,,,1464491311267,0
move,0.0,-2.0999947,-3.6000137,1464491311282,15
move,0.0,0.14999962,-7.5000153,1464491311332,50
move,0.41999998688697815,-1.7999954,-12.000008,1464491311382,50
animation,,,,1464491311434,52
attack,,,,1464491311434,0
move,0.33319999363422426,0.14999962,1.0500107,1464491311482,48
move,0.24813599859093927,0.44999886,0.0,1464491311482,0
move,0.1647732818260721,2.6999931,1.3500137,1464491311532,50
animation,,,,1464491311612,80
move,0.08307781780646906,10.800005,-1.6500168,1464491311632,20
move,0.0,10.799995,-6.749977,1464491311632,0
move,-0.07840000152587834,2.8500214,-14.2499695,1464491311682,50
move,-0.15523200451660557,2.250023,-23.84999,1464491311732,50
animation,,,,1464491311767,35
attack,,,,1464491311767,0
move,-0.23052736891296632,3.000019,-6.8999634,1464491311782,15
move,-0.30431682745754074,-1.3500061,-1.4999847,1464491311832,50
