# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,ANGLE_DOT,DISTANCE,offset
move,0.0,0.5999985,-0.1499939,1464497145884,,,???
move,0.0,0.29999924,-0.59999084,1464497145934,,,50
move,0.0,1.0499973,-4.049988,1464497145984,,,50
animation,,,,1464497146009,,,25
attack,,,,1464497146009,,,0
serverInfo,,,,1464497146009,0.8891104774592219,1.8090172992369913,0
move,0.0,7.049984,-1.7999878,1464497146034,,,25
move,0.0,1.2000046,1.0499725,1464497146084,,,50
move,0.0,0.90000916,4.7999725,1464497146134,,,50
move,0.0,0.0,10.950012,1464497146184,,,50
animation,,,,1464497146219,,,35
attack,,,,1464497146219,,,0
serverInfo,,,,1464497146219,0.7908010552038214,1.2240392198900678,0
move,0.0,-1.6500092,2.2499695,1464497146234,,,15
move,0.0,-4.499996,6.150009,1464497146284,,,50
move,0.0,-3.2999916,2.5499268,1464497146334,,,50
animation,,,,1464497146345,,,11
animation,,,,1464497146345,,,0
move,0.0,-0.14999962,0.2999878,1464497146384,,,39
animation,,,,1464497146419,,,35
move,0.0,-4.3499928,9.300003,1464497146434,,,15
move,0.0,-5.6999893,17.100067,1464497146484,,,50
animation,,,,1464497146520,,,36
move,0.0,-1.199997,8.550034,1464497146534,,,14
move,0.0,-0.14999962,2.8499756,1464497146584,,,50
move,0.0,-0.44999886,10.650024,1464497146634,,,50
move,0.0,-0.29999924,13.199966,1464497146684,,,50
animation,,,,1464497146720,,,36
attack,,,,1464497146720,,,0
serverInfo,,,,1464497146720,0.9104821624179774,0.43244003559133026,0
move,0.0,0.7499981,12.899979,1464497146734,,,14
move,0.0,0.14999962,1.8000107,1464497146784,,,50
move,0.0,0.5999985,-5.850006,1464497146834,,,50
move,0.0,3.899992,-21.000023,1464497146884,,,50
animation,,,,1464497146899,,,15
attack,,,,1464497146899,,,0
serverInfo,,,,1464497146899,0.7356053953577992,0.7459966688341672,0
move,0.0,6.599991,-14.100067,1464497146934,,,35
move,0.0,-0.29999733,-13.500046,1464497146984,,,50
move,0.0,-6.599991,-12.90004,1464497147034,,,50
move,0.0,-4.649992,-13.500046,1464497147084,,,50
animation,,,,1464497147108,,,24
attack,,,,1464497147108,,,0
serverInfo,,,,1464497147108,0.9658949811780569,1.4481122745082615,0
move,0.0,-1.949995,-9.449997,1464497147134,,,26
move,0.0,-1.4999962,-3.449936,1464497147184,,,50
move,0.0,0.0,0.0,1464497147234,,,50
animation,,,,1464497147276,,,42
