# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,-0.5999985,-10.799957,1464492703097,0
animation,,,,1464492703110,13
attack,,,,1464492703110,0
move,0.0,0.29999924,-1.1999512,1464492703147,37
move,0.0,1.0499973,-4.9498596,1464492703197,50
move,0.0,-1.199997,-13.500061,1464492703247,50
animation,,,,1464492703274,27
attack,,,,1464492703274,0
move,0.0,-0.7499981,-3.0,1464492703297,23
move,0.0,0.0,-1.1999817,1464492703347,50
move,0.0,-1.0499973,-6.75,1464492703397,50
animation,,,,1464492703477,80
attack,,,,1464492703477,0
move,0.0,-1.6499958,-3.8999481,1464492703497,20
move,0.41999998688697815,-0.14999962,-4.350006,1464492703497,0
move,0.33319999363422426,0.14999962,-2.9999847,1464492703547,50
move,0.24813599859093927,-0.44999886,-4.1999817,1464492703597,50
animation,,,,1464492703615,18
attack,,,,1464492703615,0
move,0.1647732818260721,0.14999962,-3.4499664,1464492703647,32
move,0.08307781780646906,1.7999954,-4.049942,1464492703697,50
move,0.0,3.2999916,-7.650009,1464492703747,50
animation,,,,1464492703775,28
attack,,,,1464492703775,0
move,-0.07840000152587834,3.4500065,1.799942,1464492703797,22
move,-0.15523200451660557,7.949993,-1.5258789E-5,1464492703847,50
move,-0.23052736891296632,0.15000153,8.399994,1464492703897,50
move,-0.30431682745754074,-1.5000153,7.049988,1464492703947,50
animation,,,,1464492703976,29
attack,,,,1464492703976,0
move,-0.37663049823865435,-2.2500076,0.8999634,1464492703997,21
move,-0.1040803780930375,-9.299999,6.7499847,1464492704047,50
move,0.0,-10.9500065,12.600006,1464492704097,50
animation,,,,1464492704133,36
attack,,,,1464492704133,0
move,0.0,-8.100001,7.5,1464492704147,14
move,0.41999998688697815,-3.599998,2.999878,1464492704197,50
move,0.33319999363422426,0.4500003,2.6998901,1464492704247,50
animation,,,,1464492704279,32
attack,,,,1464492704279,0
move,0.24813599859093927,7.200001,6.2999573,1464492704297,18
animation,,,,1464492704315,18
move,0.1647732818260721,4.7999983,12.600006,1464492704347,32
move,0.08307781780646906,-0.14999962,57.149994,1464492704397,50
move,0.0,0.7500019,95.25003,1464492704447,50
animation,,,,1464492704490,43
move,-0.07840000152587834,-7.8,68.399994,1464492704497,7
move,-0.15523200451660557,-1.7999964,31.950012,1464492704547,50
move,-0.23052736891296632,-1.4999962,6.9002075,1464492704597,50
animation,,,,1464492704681,84
animation,,,,1464492704681,0
move,-0.30431682745754074,-0.44999886,12.150024,1464492704697,16
move,-0.37663049823865435,0.44999886,31.049988,1464492704697,0
move,-0.1040803780930375,1.4999962,58.19995,1464492704797,100
move,0.0,-4.199999,62.399963,1464492704797,0
animation,,,,1464492704818,21
move,0.0,-4.2000012,54.600037,1464492704847,29
move,0.0,0.90000033,31.19989,1464492704897,50
move,0.0,3.3000014,26.400024,1464492704947,50
move,0.0,4.7999988,35.69983,1464492704997,50
animation,,,,1464492705015,18
move,0.0,4.0499954,36.14984,1464492705047,32
animation,,,,1464492705064,17
move,0.0,1.3499966,40.950012,1464492705097,33
animation,,,,1464492705179,82
animation,,,,1464492705179,0
move,0.0,0.44999886,33.749756,1464492705197,18
move,0.0,4.649994,37.5,1464492705197,0
animation,,,,1464492705232,35
move,0.0,-0.5999985,39.30011,1464492705247,15
move,0.0,-1.6499958,44.39978,1464492705297,50
animation,,,,1464492705317,20
move,0.0,-3.2999916,34.049683,1464492705347,30
move,0.0,-1.949995,16.799805,1464492705397,50
move,0.0,-0.7499981,4.2000732,1464492705497,100
move,0.0,-0.29999924,-7.2000732,1464492705497,0
animation,,,,1464492705519,22
move,0.0,3.149992,25.799927,1464492705597,78
