# EVENT,Y_DELTA,PITCH_DELTA,YAW_DELTA,TIMESTAMP,offset
move,0.0,-2.2500014,-3.4499512,1464495538560,???
move,0.0,0.0,0.0,1464495538560,0
move,0.0,1.2000008,-6.449936,1464495538560,0
move,0.0,1.5,-4.349945,1464495538560,0
move,0.0,0.0,0.0,1464495538560,0
move,0.0,0.0,0.0,1464495538560,0
move,0.0,0.0,0.59999084,1464495538560,0
move,0.0,0.8999977,-2.099945,1464495538609,49
move,0.0,0.29999924,-2.5499725,1464495538659,50
move,0.0,0.14999962,-3.7499695,1464495538709,50
animation,,,,1464495538744,35
attack,,,,1464495538744,0
move,0.0,1.0499973,-6.1499786,1464495538759,15
move,0.0,1.199997,-7.6500397,1464495538809,50
move,0.0,0.29999924,-8.400024,1464495538859,50
animation,,,,1464495538890,31
attack,,,,1464495538890,0
move,0.0,0.5999985,-5.549988,1464495538909,19
move,0.0,1.0499973,-5.849991,1464495538959,50
move,0.0,-0.29999924,-6.4500275,1464495538959,0
move,0.0,-2.399994,-11.099991,1464495539059,100
animation,,,,1464495539074,15
attack,,,,1464495539074,0
move,0.0,-1.1999979,-12.000107,1464495539109,35
move,0.0,0.0,-5.5499268,1464495539209,100
move,0.0,0.0,-0.1499939,1464495539209,0
move,0.0,0.0,0.0,1464495539259,50
animation,,,,1464495539279,20
attack,,,,1464495539279,0
move,0.0,0.0,0.0,1464495539309,30
move,0.0,0.14999962,-0.5999756,1464495539359,50
move,0.0,0.0,-3.5998535,1464495539409,50
animation,,,,1464495539454,45
attack,,,,1464495539454,0
move,0.0,0.0,-1.3499451,1464495539459,5
move,0.0,0.7499981,-2.0999146,1464495539459,0
move,0.0,0.29999924,-0.8999634,1464495539509,50
move,0.0,0.14999962,-2.3999329,1464495539609,100
animation,,,,1464495539692,83
attack,,,,1464495539692,0
move,0.0,0.5999985,-3.4498596,1464495539709,17
move,0.0,0.5999985,-4.94989,1464495539709,0
move,0.0,-0.14999962,-2.9999084,1464495539759,50
animation,,,,1464495539766,7
attack,,,,1464495539766,0
move,0.0,-0.29999924,-2.249939,1464495539809,43
move,0.0,0.0,-0.4499817,1464495539859,50
move,0.0,0.0,0.0,1464495539859,0
move,0.0,-0.14999962,-0.1499939,1464495539959,100
move,0.0,-0.5999994,0.1499939,1464495540009,50
animation,,,,1464495540030,21
attack,,,,1464495540030,0
move,0.0,0.0,0.0,1464495540059,29
move,0.0,-0.14999962,-0.2999878,1464495540109,50
move,0.0,-1.4999962,-7.349945,1464495540159,50
move,0.0,-1.199997,-7.049988,1464495540159,0
animation,,,,1464495540204,45
move,0.0,0.29999924,-0.8999634,1464495540209,5
move,0.0,0.7499981,-0.7499695,1464495540309,100
move,0.0,0.0,0.0,1464495540359,50
animation,,,,1464495540395,36
move,0.0,0.0,0.0,1464495540409,14
move,0.0,0.0,0.0,1464495540459,50
move,0.0,-0.29999924,2.6999817,1464495540509,50
move,0.0,0.44999886,14.550049,1464495540559,50
animation,,,,1464495540594,35
move,0.0,1.949995,8.549988,1464495540609,15
move,0.0,0.14999962,0.0,1464495540609,0
move,0.0,-0.5999985,1.499939,1464495540709,100
move,0.0,-0.44999886,1.499939,1464495540809,100
move,0.0,0.0,0.4499817,1464495540809,0
animation,,,,1464495540834,25
attack,,,,1464495540834,0
move,0.0,-0.14999962,1.7999268,1464495540859,25
move,0.0,-0.14999962,0.2999878,1464495540909,50
move,0.0,-0.8999977,1.6499329,1464495540959,50
move,0.0,-0.8999977,4.4999084,1464495540959,0
animation,,,,1464495541007,48
attack,,,,1464495541007,0
move,0.0,0.29999924,4.799835,1464495541009,2
move,0.0,0.0,9.900055,1464495541109,100
animation,,,,1464495541204,95
attack,,,,1464495541204,0
move,0.0,-0.14999962,8.700012,1464495541209,5
move,0.0,1.4999962,3.2999878,1464495541209,0
move,0.0,0.44999886,6.1499786,1464495541259,50
move,0.0,-1.4999971,5.9999847,1464495541309,50
move,0.0,-1.4999971,9.300049,1464495541359,50
move,0.0,-1.2000008,18.449997,1464495541409,50
